index,housename,bedrooms,locality,quality,sellprice
0,Cheyenne Powell,2,3,10,100688.168957
1,Samantha Love,3,8,2,93805.4218016
2,Stephanie Roth,2,2,7,82564.6237358
3,Stephen Webb,4,6,1,85860.0030361
4,Andre Dunlap,3,6,8,115028.503487
5,Justin Gill,4,10,10,156084.083251
6,Richard Conner,4,9,7,133155.390323
7,Andrew Morgan,1,5,8,88719.2866844
8,Thomas Torres,2,8,7,108575.636603
9,Jason Reed,4,10,2,114194.833828
10,Tracy Rios,2,9,5,107291.431105
11,Nina Graves,2,1,10,89645.1070608
12,Jeffrey Sparks,4,2,10,115822.574269
13,Lisa Carson,4,4,10,126614.130568
14,Charles Williams,1,8,1,70699.5796563
15,Bobby Johnston,4,9,1,103955.470537
16,Barbara Ryan,1,3,3,51987.9152875
17,Natalie Little,2,3,3,63220.0645039
18,Johnny Branch,4,2,9,110667.091614
19,Melissa Robertson,3,3,10,109837.522859
20,Samuel Brown,3,1,10,97805.3429409
21,Beverly Gallegos,2,6,2,75315.1540291
22,Russell Mendoza,2,5,8,97301.459977
23,Jordan Wilcox,3,9,2,101634.249181
24,Melanie Parks,3,9,6,117600.784905
25,Eric Atkins,3,8,5,110941.297195
26,Jason Brennan MD,1,5,5,71367.1928897
27,Darius Benton,3,10,6,122819.714089
28,Jose Sanchez,4,2,5,88648.126568
29,John Chung,1,8,6,92239.2273945
30,Ashley Brown,3,8,3,100294.023911
31,Amber Long,3,6,1,77301.7982101
32,Debra Stewart,3,3,4,80644.9658583
33,Terry Fisher,3,9,9,136008.789944
34,David Williams,1,1,3,47431.4600654
35,David Holland,1,8,10,112826.041999
36,Alyssa Griffith,3,6,5,97616.2962192
37,Joseph Griffith,4,3,6,96611.1677949
38,Susan Mayer,1,2,2,43078.8580163
39,David Ruiz,4,1,3,74565.1981034
40,Kyle Schneider,4,1,10,111472.483802
41,Kathleen Rubio DDS,2,3,6,81070.8174129
42,Kimberly Vega,3,9,4,110817.215393
43,Carrie Olsen,1,3,6,70658.9644958
44,Bethany Sullivan,3,2,4,74022.8580822
45,Heather Ayala,4,10,10,155747.101067
46,Kathryn Craig,1,1,2,37642.4550882
47,Elizabeth Smith,1,6,7,87933.5343135
48,George Frey,2,7,10,122414.504853
49,April Abbott,4,1,9,105459.291004
50,Jonathan Green,1,2,7,71600.7833969
51,Martin Anderson,3,9,6,120000.744215
52,Christopher Elliott,2,6,6,93718.3991366
53,Sean Zimmerman,3,10,2,103348.867765
54,Andrea White,2,8,8,112270.893825
55,Dr. Stephen Martin,4,1,10,106457.864708
56,Lisa Young,2,8,6,106280.785587
57,Austin White,1,3,2,48827.2152562
58,Kevin Whitaker,1,1,6,56782.7843822
59,Andrew Gentry,4,2,10,114622.983465
60,Dennis Clark,4,5,4,98665.1836887
61,Nancy Molina,3,3,5,85930.3874385
62,Thomas Shelton,3,5,6,96384.2164408
63,Nicole Smith,4,8,7,131175.314604
64,Gregory Mooney,3,10,6,123168.523711
65,Gloria Mills,2,10,8,126751.942828
66,Steven Callahan,1,3,1,44741.4409609
67,Christopher Brown,2,8,7,109069.430192
68,Jasmine Cuevas,2,8,4,93743.9320197
69,Kari Bennett,1,4,3,58597.6619123
70,Richard Gonzales,1,6,3,68136.0170955
71,Cynthia Brandt,2,8,1,82070.7270568
72,Christopher Phillips,4,2,5,90686.3934448
73,Jason Owen,3,5,7,106119.319335
74,Thomas Baxter,3,7,8,118380.738666
75,Gail Knight,4,3,3,87976.4598062
76,Amy Glover,3,10,4,113536.035035
77,Nicholas Gregory,2,4,6,86154.8189718
78,Jennifer Cruz,4,9,2,109892.637667
79,Shane Jones,4,5,6,109671.344124
80,Scott Booth,1,4,2,53395.9299675
81,Nathaniel Hull DDS,3,4,10,111256.883857
82,Debbie Myers,1,9,7,103051.013984
83,Cheryl Torres,2,7,8,108515.076364
84,Eugene Goodwin,4,9,5,126061.503783
85,Katelyn Huerta,4,5,3,93245.918428
86,Mark Morgan,3,5,3,82500.4655244
87,Lauren Turner,1,5,9,93629.8298375
88,Jackson Davis,1,4,2,51037.1106519
89,Claire Ward,2,4,4,73139.0002874
90,Amanda Smith,4,5,5,101455.724435
91,Gregory Nelson,4,2,2,73185.7103863
92,Blake Ballard,3,2,5,82021.4845405
93,Amanda Taylor,1,1,6,57688.8978837
94,Todd Dunn,4,8,8,132407.465965
95,Kevin Stephens,3,4,10,114371.783913
96,Kimberly Martinez,2,5,3,71585.4584115
97,Whitney Ellis,3,6,5,100126.127057
98,Jeffrey Garcia,2,4,2,65663.522922
99,Jeff Gaines,3,10,2,104653.80967
