 ,Email ,Address ,Avatar ,Avg. Session Length ,Time on App ,Time on Website ,Length of Membership ,Yearly Amount Spent
0,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,34.497268,12.655651,39.577668,4.082621,587.951054
1,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,31.926272,11.109461,37.268959,2.664034,392.204933
2,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,33.000915,11.330278,37.110597,4.104543,487.547505
3,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,34.305557,13.717514,36.721283,3.120179,581.852344
4,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,33.330673,12.795189,37.536653,4.446308,599.406092
5,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,26.502454,17.536441,28.660809,3.690164,405.503838
6,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,31.957372,9.557711,35.199569,4.226270,278.447740
7,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,30.358212,15.741043,34.592939,4.799099,554.070936
8,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,26.648207,9.938608,28.146304,3.737545,459.009645
9,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,24.023799,14.923255,31.464023,3.928398,586.047113
10,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,35.570374,9.006999,33.722337,2.330712,355.692919
11,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,33.009338,9.348185,32.900347,3.708502,528.725309
12,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,30.134531,10.710694,40.428267,4.129357,465.651078
13,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,26.538604,11.658711,27.884831,2.595198,535.786626
14,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,23.506700,10.087685,30.949810,3.632964,331.483665
15,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,28.513047,9.195859,34.339526,3.563816,485.326968
16,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,27.444649,12.235378,39.197210,3.546890,616.976972
17,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,34.229467,11.156379,24.049863,4.186088,493.333791
18,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,28.106826,14.792557,27.996634,5.150398,405.782007
19,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,36.075634,18.619249,26.606979,4.633330,512.011902
20,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,29.452053,11.312517,26.177056,4.105356,517.828125
21,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,32.582228,15.753873,27.754298,4.797253,712.262463
22,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,33.766670,8.512348,23.235214,2.636617,513.793236
23,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,35.588306,11.206804,36.581738,4.111199,540.203499
24,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,34.828571,11.380121,30.675684,5.581314,679.706411
25,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,25.837097,12.889649,28.670124,4.772000,502.499791
26,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,24.831597,12.153255,25.636576,3.330342,360.526401
27,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,29.872369,8.201243,29.525709,4.011184,300.944745
28,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,30.230115,16.233920,26.994743,3.924170,576.813240
29,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,26.150768,12.900208,29.426329,4.696950,690.770690
30,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,32.636834,15.463979,35.556536,3.877102,446.945621
31,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,30.358527,15.030984,39.768152,3.800597,326.839000
32,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,30.248878,8.130372,39.442041,5.248862,367.781846
33,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,28.826119,16.375984,29.435856,5.811276,550.753377
34,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,22.138509,17.247682,38.116343,3.169263,606.642120
35,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,37.765185,13.732099,24.422418,5.279329,424.823815
36,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,26.730315,13.020974,23.247249,4.860470,416.198100
37,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,25.391113,10.337961,25.433392,4.442750,624.014860
38,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,28.183129,16.851085,30.179160,4.404815,670.185664
39,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,30.327322,16.961799,29.467256,3.973275,384.923239
40,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,32.074425,13.616035,30.216312,4.592162,418.619446
41,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,31.779099,12.164880,31.221075,2.975017,663.128339
42,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,32.654625,16.283280,27.343064,3.343604,448.950543
