applicationNumber,name,surname,FatherOrSpouseName,FatherSpouseIndicator,Gender,MaritalStatus,DOB,Nationality,ResidentialStatus,PAN,UID,CorrespondenceAddressType,CorrespondenceAddressFlatNo,CorrespondenceAddressApartmentName,CorrespondenceAddressStreet,CorrespondenceAddressCityTownVillage,CorrespondenceAddressPin,CorrespondenceAddressState,CorrespondenceAddressCountry,ContactISD,ContactSTD,ContactNo,ContactEmail,GrossAnnualIncome,NetWorth,NetWorthDate,Occupation,PEPIndicator,SpendIndicator,AnnualSpend,AnnualIncome,AnnualTax,Age
1,Anthony,Burton,Shari Burton,S,M,M,29-May-42,India,N,,062-37-1791,passport,47,effect,3763 Shelia Club Suite 700,Port Benjamin,83877,Illinois,India,73,167,9623992911,Anthony.Burton@gmail.com,3499117,17495585,10-May-19,Museum education officer,N,H,1205204.195,2410408.39,1088708.61,77
2,Shannon,Matthews,Matthew Matthews,F,F,M,27-May-48,India,Y,EWBPM1961Z,788-73-0324,aadhaar,58,stock,026 James Viaduct Suite 756,Kevinview,23952,Massachusetts,India,94,264,9503225697,Shannon.Matthews@hotmail.com,4929297,14787891,10-May-19,Radio producer,N,L,481232.7129,3368628.99,1560668.01,71
3,Tyler,Singh,Laura Singh,S,M,M,28-May-47,India,Y,AXEPS4997U,212-74-8629,bank statement,9,second,156 Mccoy Knoll,Saraside,74785,Oregon,India,44,159,9384492915,Tyler.Singh@hotmail.com,384119,1152357,10-May-19,Optician- dispensing,N,M,80839.9325,323359.73,60759.27,72
4,Kurt,Ramirez,Anthony Ramirez,F,M,S,21-May-74,India,N,,684-54-2681,voter id,34,a,006 Rachel Branch,Ericfort,2347,Rhode Island,India,6,228,9222852198,Kurt.Ramirez@yahoo.com,4248338,29738366,10-May-19,Ranger/warden,N,H,970795.4867,2912386.46,1335951.54,45
5,Mario,Rangel,Sarah Rangel,S,M,S,18-May-86,India,Y,EXTPR8773R,160-91-4627,passport,5,third,61493 Tyler Greens Suite 541,Leeburgh,31827,Nevada,India,47,177,9293011924,Mario.Rangel@hotmail.com,4101984,45121824,10-May-19,Soil scientist,N,H,938109.76,2814329.28,1287654.72,33
6,Mary,Howard,Jacob Howard,S,F,S,27-May-48,India,Y,CIRPH3265C,794-33-7332,aadhaar,15,lawyer,79885 Ruiz Alley Apt. 226,Meganport,39029,Vermont,India,86,209,9391199589,Mary.Howard@yahoo.com,3769840,33928560,10-May-19,Politician's assistant,N,H,863930.9333,2591792.8,1178047.2,71
7,Jessica,Andrews,Tyler Andrews,F,F,S,18-May-86,France,N,,358-96-2649,aadhaar,41,they,62785 Amanda Lodge,Kellyberg,76845,West Virginia,France,52,296,9235073037,Jessica.Andrews@hotmail.com,1755682,15801138,10-May-19,Horticultural therapist,N,M,248461.388,1242306.94,513375.06,33
8,George,Clark,Nicholas Clark,F,M,S,26-May-54,India,Y,DYWPC3280S,109-08-2948,passport,22,say,582 Sarah Drives,Port Edward,82413,Louisiana,India,65,263,9215562442,George.Clark@yahoo.com,2081744,14572208,10-May-19,Geochemist,N,M,292153.696,1460768.48,620975.52,65
9,Ashley,Howe,John Howe,S,F,S,17-May-89,India,Y,EXMPH9881T,206-78-2960,bank statement,33,collection,06413 Garcia Lock,Port Brookefurt,39895,Mississippi,India,31,216,9469970474,Ashley.Howe@yahoo.com,881594,8815940,10-May-19,Industrial/product designer,N,H,218889.3267,656667.98,224926.02,30
10,Seth,Jensen,Tina Jensen,S,M,M,22-May-70,UK,N,,313-05-0690,bank statement,35,hundred,7575 Rivera Mills,South Tyler,49520,New York,UK,42,265,9226177955,Seth.Jensen@hotmail.com,4166196,12498588,10-May-19,Manufacturing engineer,N,L,408193.0457,2857351.32,1308844.68,49
